"id_n","Nama_agency"
"1","Kementerian Pembangunan Luar Bandar"
"2","Kementerian Kewangan"
"3","Kementerian Pertanian dan Industri Makanan"
"4","Kementerian Pembangunan Infrastruktur"
"5","Kementerian Kerajaan Tempatan dan Perumahan"
"6","Kementerian Pembangunan Masyarakat dan Kesejahteraan Rakyat"
"7","Kementerian Pelancongan, Kebudayaan dan Alam Sekitar"
"8","Kementerian Perdagangan dan Perindustrian"
"9","Kementerian Belia dan Sukan Sabah"
"10","Kementerian Pelajaran dan Inovasi"
"11","Kementerian Undang-undang dan Hal Ehwal Anak Negeri"
"12","Pejabat Yang Dipertua Negeri Sabah / Istana Negeri"
"13","Pejabat Dewan Undangan Negeri"
"14","Suruhanjaya Perkhidmatan Awam Negeri"
"15","Pejabat Setiausaha Kerajaan Negeri"
"16","Pejabat Ketua Menteri"
"17","Pejabat Timbalan Setiausaha Kerajaan Negeri (Pentadbiran)"
"18","Pejabat Timbalan Setiausaha Kerajaan Negeri (Pembangunan)"
"19","Jabatan Arkib Negeri Sabah"
"20","Jabatan Peguam Besar Negeri"
"21","Jabatan Cetak Kerajaan"
"22","Jabatan Perkhidmatan Awam Negeri (termasuk Unit Penyampaian Perkhidmatan)"
"23","Jabatan Tanah & Ukur"
"24","Jabatan Perhutanan Sabah"
"25","Unit Perancang Ekonomi Negeri"
"26","Unit Pemimpin Pembangunan Masyarakat"
"27","Pejabat Perhubungan Negeri Sabah"
"28","Bahagian Istiadat dan Protokol"
"29","Bahagian Pengurusan dan Kewangan"
"30","Bahagian Kabinet dan Dasar"
"31","Pejabat Akhbar dan Penerbitan"
"32","Pejabat Mufti Negeri"
"33","Pejabat Hasil Bumi"
"34","Pejabat Hal Ehwal Dalam Negeri dan Penyelidikan"
"35","Jawatan Gunasama Lain, Jabatan Ketua Menteri"
"36","Jabatan Bendahari Negeri"
"37","Jabatan Perkhidmatan Komputer Negeri"
"38","Jabatan Perikanan"
"39","Jabatan Perkhidmatan Veterinar Sabah"
"40","Jabatan Pengairan dan Saliran"
"41","Jabatan Pertanian"
"42","Jabatan Air Negeri Sabah"
"43","Jabatan Kerja Raya"
"44","Jabatan Keretapi Negeri Sabah"
"45","Jabatan Pelabuhan dan Dermaga Sabah"
"46","Jabatan Perancang Bandar dan Wilayah"
"47","Jabatan Perkhidmatan Kebajikan Am"
"48","Jabatan Hal Ehwal Wanita Negeri"
"49","Jabatan Perkhidmatan Pembetungan Negeri Sabah"
"50","Jabatan Hidupan Liar"
"51","Jabatan Perlindungan Alam Sekitar"
"52","Jabatan Muzium Sabah"
"53","Jabatan Pembangunan Perindustrian dan Penyelidikan"
"54","Perpustakaan Negeri Sabah"
"55","Jabatan Pembangunan Sumber Manusia"
"56","Jabatan Hal Ehwal Agama Islam Negeri Sabah"
"57","Jabatan Hal Ehwal Anak Negeri Sabah"
"58","Pejabat Daerah Putatan"
"59","Pejabat Daerah Telupid"
"60","Pejabat Daerah Penampang"
"61","Pejabat Daerah Papar"
"62","Pejabat Daerah Tuaran"
"63","Pejabat Daerah Kota Belud"
"64","Pejabat Daerah Ranau"
"65","Pejabat Daerah Kudat"
"66","Pejabat Daerah Kota Marudu"
"67","Pejabat Daerah Pitas"
"68","Pejabat Daerah Keningau"
"69","Pejabat Daerah Tambunan"
"70","Pejabat Daerah Nabawan"
"71","Pejabat Daerah Sipitang"
"72","Pejabat Daerah Tenom"
"73","Pejabat Daerah Beaufort"
"74","Pejabat Daerah Kuala Penyu"
"75","Pejabat Daerah Kinabatangan"
"76","Pejabat Daerah Beluran"
"77","Pejabat Daerah Semporna"
"78","Pejabat Daerah Lahad Datu"
"79","Pejabat Daerah Kunak"
"80","Pejabat Daerah Tongod"
"81","Pejabat Daerah Kalabakan"
"82","Pejabat Daerah Kecil Paitan"
"83","Pejabat Daerah Kecil Pagalungan"
"84","Pejabat Daerah Kecil Tungku"
